id,card_number,card_type,monthly_payment
1,5108759925712599,mastercard,$3393.30
2,5602247569024134,bankcard,$3013.66
3,3584918545173602,jcb,$1694.63
4,4405618590758571,visa-electron,$738.97
5,374622685147588,americanexpress,$2792.18
6,4913672862987447,visa-electron,$3037.74
7,3541138756862957,jcb,$1320.96
8,3588883091932288,jcb,$1653.78
9,201566869840873,diners-club-enroute,$957.62
10,4175006463137859,visa-electron,$3109.19
11,5002358214061342,mastercard,$2224.16
12,6709223572297473646,laser,$1885.00
13,6380479830022995,instapayment,$3091.94
14,3534239715392927,jcb,$2895.83
15,3554254142819116,jcb,$3422.23
16,3537594239156480,jcb,$3962.88
17,5333673237585824,mastercard,$2647.26
18,675967807206997411,switch,$3063.61
19,5002358271102658,mastercard,$3375.87
20,372301429224738,americanexpress,$2193.03
21,4026474687822907,visa-electron,$3091.47
22,3585111698768506,jcb,$1806.39
23,3585634822307891,jcb,$2764.37
24,3532648698281059,jcb,$1499.92
25,5565304072317334,mastercard,$3499.98
26,3562869682617412,jcb,$2300.48
27,3543084048258703,jcb,$1610.08
28,5501567244748985,diners-club-us-ca,$875.86
29,5602236315414970,china-unionpay,$3004.38
30,30083201415544,diners-club-carte-blanche,$2156.04
31,50188391565791193,maestro,$871.93
32,5002359052625933,mastercard,$2282.75
33,3586917825006241,jcb,$920.71
34,5610880147499590,bankcard,$1795.54
35,3530555808733246,jcb,$667.26
36,5420687502087203,diners-club-us-ca,$3641.09
37,5401827755699303,diners-club-us-ca,$2072.08
38,3568056549594885,jcb,$2965.33
39,30115601958820,diners-club-carte-blanche,$2500.71
40,3547315070858879,jcb,$3395.20
41,4844517282242325,visa-electron,$1173.78
42,6383720955626152,instapayment,$3883.79
43,5556555014128201,mastercard,$2065.48
44,3528865976415425,jcb,$3580.24
45,3569879070870203,jcb,$764.94
46,3543997301811811,jcb,$1598.23
47,3580220834691459,jcb,$2931.17
48,5893066195541982,maestro,$2466.22
49,3574953036988467,jcb,$1768.32
50,56022338572314805,china-unionpay,$3136.21
51,5100130264100754,mastercard,$3086.35
52,4905342264995378,switch,$3423.16
53,589362100706091586,maestro,$2137.17
54,5893742528399955,maestro,$686.22
55,3579222664069676,jcb,$1486.46
56,201411649853120,diners-club-enroute,$1350.41
57,342876693660821,americanexpress,$3450.45
58,6771095410661981,laser,$3728.64
59,3528722996321275,jcb,$2137.96
60,3571649942429256,jcb,$3742.68
61,3539224184840866,jcb,$2558.41
62,3575949227558878,jcb,$1797.50
63,6375568517729059,instapayment,$2105.41
64,5306289815251706,mastercard,$3634.21
65,3582511938637010,jcb,$981.18
66,5048374706206770,mastercard,$2917.76
67,3582726033423476,jcb,$3192.11
68,201979553443138,diners-club-enroute,$1128.27
69,3589419792660305,jcb,$1596.87
70,3572793179300985,jcb,$3596.84
71,3560416187670991,jcb,$2553.81
72,5579358671124065,diners-club-us-ca,$2076.68
73,3576266858338564,jcb,$1352.30
74,374283183545128,americanexpress,$2332.55
75,5100170426425269,mastercard,$2649.81
76,4936183291519408,switch,$3629.12
77,5010120516440180,mastercard,$837.01
78,201524835910528,diners-club-enroute,$328.84
79,491195721024024744,switch,$3427.12
80,3546141317149539,jcb,$1275.17
81,337941611427914,americanexpress,$3008.62
82,4041596336759139,visa,$1697.77
83,3556367430686217,jcb,$2146.97
84,6376441673988175,instapayment,$1334.76
85,3572421501061337,jcb,$1924.16
86,6386095077635994,instapayment,$602.56
87,3539715560149194,jcb,$761.03
88,3546263180058710,jcb,$3747.68
89,3576391369682761,jcb,$2204.08
90,3561406424344848,jcb,$3846.60
91,30113416566094,diners-club-carte-blanche,$3004.60
92,3536899696614538,jcb,$3244.27
93,3572627560628762,jcb,$1680.69
94,5048373432999203,mastercard,$1339.70
95,6375140123971739,instapayment,$650.28
96,30368329366236,diners-club-carte-blanche,$3100.72
97,4913702241649481,visa-electron,$661.95
98,30216236980385,diners-club-carte-blanche,$3823.18
99,5893884074594487075,maestro,$810.15
100,670684800420490985,laser,$1557.38
101,201646419865768,diners-club-enroute,$2320.22
102,676750293517688891,solo,$1585.23
103,67614630646464512,maestro,$1979.06
104,3528062600252008,jcb,$3177.26
105,630401899108588405,laser,$2219.47
106,6304924456881359,laser,$2080.40
107,4913769492671092,visa-electron,$2889.14
108,3549905188883377,jcb,$1804.77
109,6371900641631923,instapayment,$428.16
110,3577628607575458,jcb,$2430.17
111,3563745237057792,jcb,$1853.16
112,5010124214545449,mastercard,$2659.10
113,3533692162735496,jcb,$3268.72
114,3581473032981995,jcb,$1295.15
115,3533573842075406,jcb,$1836.64
116,3581106943261848,jcb,$1072.76
117,060402535131903414,maestro,$925.26
118,3580842012586274,jcb,$3904.66
119,6333014759282896,switch,$2839.24
120,4508063221125088,visa-electron,$1467.25
121,50388355816279223,maestro,$2192.15
122,3529759827742906,jcb,$1911.19
123,5509611391843355,diners-club-us-ca,$310.38
124,3572483857215727,jcb,$458.58
125,6382257483020385,instapayment,$969.11
126,3576410492365811,jcb,$2476.42
127,4800688173997558,visa,$322.65
128,3583700718227337,jcb,$2938.37
129,5893307575866054848,maestro,$2714.96
130,3580292730639742,jcb,$2624.80
131,633416559364742321,solo,$3381.98
132,5458209402031036,mastercard,$3618.52
133,5048374482901107,mastercard,$3364.65
134,5602252641893167,bankcard,$3225.99
135,3578395619747892,jcb,$2678.57
136,5602248404089691624,china-unionpay,$1550.32
137,5602234783205901835,china-unionpay,$3006.10
138,30343253662652,diners-club-carte-blanche,$2751.61
139,5100172562060033,mastercard,$517.12
140,3589013708345943,jcb,$2033.05
141,3528526628799927,jcb,$1773.40
142,3534508274118216,jcb,$2399.73
143,3574280720420122,jcb,$2497.42
144,3551653713378340,jcb,$655.07
145,4041371657659858,visa,$865.63
146,6762575951580760880,maestro,$2221.96
147,676727900856204789,solo,$3465.81
148,58937180498414081,maestro,$1678.91
149,3565265222307191,jcb,$3685.07
150,633386877345258415,switch,$1602.43
151,4405040699380589,visa-electron,$736.27
152,3586666120212554,jcb,$1713.17
153,374622189835522,americanexpress,$482.17
154,3542999364675191,jcb,$2440.25
155,345364179277813,americanexpress,$3510.44
156,3562726678349659,jcb,$3201.65
157,3559435976889748,jcb,$2233.56
158,3546266274654799,jcb,$518.90
159,3562254492187320,jcb,$846.14
160,3543901373217857,jcb,$1834.05
161,3552304330972094,jcb,$1396.82
162,5002354435834096,mastercard,$1275.26
163,201494162060885,diners-club-enroute,$310.26
164,30001147161170,diners-club-carte-blanche,$2079.50
165,5100134730909376,mastercard,$2670.47
166,5007666969340777,mastercard,$2913.28
167,5602216678674329,china-unionpay,$2816.42
168,502090330253421298,maestro,$2081.99
169,5893076556596582,maestro,$456.64
170,3554675386419660,jcb,$2888.89
171,3537888411552130,jcb,$1800.25
172,3532603646876070,jcb,$434.47
173,0604513521677040135,maestro,$1530.41
174,3563029756861383,jcb,$1688.97
175,5010128124549904,mastercard,$2226.00
176,5602221160306836,bankcard,$1077.07
177,3551684698807045,jcb,$3870.25
178,201691134337222,diners-club-enroute,$1009.23
179,3539539254370894,jcb,$2340.77
180,676239080146764453,maestro,$3235.67
181,3563531610052604,jcb,$2314.04
182,3554682239425043,jcb,$1834.59
183,3536646451781238,jcb,$2004.81
184,3539552923260727,jcb,$2294.87
185,3547749264754959,jcb,$3534.55
